"TargetModule","Coverage"
"user_code","1.0"
"user_code","1.0"
"user_code","1.0"
"user_code","0.36363636363636365"
"user_code","0.36363636363636365"
"user_code","1.0"
"user_code","0.36363636363636365"
"user_code","0.36363636363636365"
"user_code","1.0"
"user_code","1.0"
"triangle.triangle_perimeter","1.0"
"triangle.triangle_perimeter","1.0"
"triangle.triangle_perimeter","1.0"
"triangle.triangle_perimeter","1.0"
"triangle.triangle_perimeter","1.0"
"triangle.triangle_area","0.8125"
"triangle_2.triangle_area","1.0"
"triangle_2.triangle_perimeter","1.0"
"triangle_2.triangle_area","0.9375"
"user_code","1.0"
"user_code","1.0"
"user_code","1.0"
"triangle_2.triangle_area","0.875"
"user_code","1.0"
"triangle_2.triangle_area","0.75"
"triangle_2.triangle_type","0.95"
